soph,rho,tpr,tpr_lo,tpr_hi,fpr,fpr_lo,fpr_hi,f1
0.05,0.05,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.05,0.07,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.05,0.09000000000000001,1.0,1.0,1.0,0.99722,0.992,1.0,0.005544586050225923
0.05,0.11000000000000001,1.0,1.0,1.0,0.002684,0.0,0.008,0.9986561965658585
0.05,0.13,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.05,0.15000000000000002,0.92395,0.885,0.9576249999999998,0.0,0.0,0.0,0.9604719456867137
0.05,0.17000000000000004,0.0195,0.0,0.042624999999999885,0.0,0.0,0.0,0.03825404609727768
0.05,0.19000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.21000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.23000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.25000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.29000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.31000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.33000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.3500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.37000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.39000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.4100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.43000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.4700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.4900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.05,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.1,0.07,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.1,0.09000000000000001,1.0,1.0,1.0,0.997204,0.992,1.0,0.00557640836166319
0.1,0.11000000000000001,1.0,1.0,1.0,0.0026680000000000002,0.0,0.008,0.9986642180169013
0.1,0.13,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.1,0.15000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.1,0.17000000000000004,0.95156,0.92,0.98,0.0,0.0,0.0,0.97517883124397
0.1,0.19000000000000003,0.05804000000000001,0.027375000000000007,0.09,0.0,0.0,0.0,0.10971229820141845
0.1,0.21000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.23000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.25000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.29000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.31000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.33000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.3500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.37000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.39000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.4100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.43000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.4700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.4900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.05,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.15,0.07,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.15,0.09000000000000001,1.0,1.0,1.0,0.997152,0.992,1.0,0.005679823861075598
0.15,0.11000000000000001,1.0,1.0,1.0,0.0025760000000000006,0.0,0.008,0.9987103388665245
0.15,0.13,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.15,0.15000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.15,0.17000000000000004,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.15,0.19000000000000003,0.99961,0.995,1.0,0.0,0.0,0.0,0.9998049619175836
0.15,0.21000000000000002,0.62202,0.55,0.695,0.0,0.0,0.0,0.7669695810922819
0.15,0.23000000000000004,0.0037400000000000003,0.0,0.015,0.0,0.0,0.0,0.007452129036657687
0.15,0.25000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.29000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.31000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.33000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.3500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.37000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.39000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.4100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.43000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.4700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.4900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.05,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.2,0.07,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.2,0.09000000000000001,1.0,1.0,1.0,0.99712,0.992,1.0,0.005743458837972281
0.2,0.11000000000000001,1.0,1.0,1.0,0.0026120000000000006,0.0,0.008,0.9986922920835265
0.2,0.13,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.2,0.15000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.2,0.17000000000000004,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.2,0.19000000000000003,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.2,0.21000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.2,0.23000000000000004,0.99805,0.99,1.0,0.0,0.0,0.0,0.999024048397236
0.2,0.25000000000000006,0.49675,0.43,0.5726249999999998,0.0,0.0,0.0,0.6637715048829951
0.2,0.27,0.00204,0.0,0.01,0.0,0.0,0.0,0.004071693744354348
0.2,0.29000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.31000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.33000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.3500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.37000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.39000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.4100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.43000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.4700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.4900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.05,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.3,0.07,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.3,0.09000000000000001,1.0,1.0,1.0,0.997048,0.992,1.0,0.005886622689232632
0.3,0.11000000000000001,1.0,1.0,1.0,0.0026040000000000004,0.0,0.008,0.998696302535967
0.3,0.13,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.3,0.15000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.3,0.17000000000000004,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.3,0.19000000000000003,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.3,0.21000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.3,0.23000000000000004,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.3,0.25000000000000006,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.3,0.27,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.3,0.29000000000000004,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.3,0.31000000000000005,0.99973,0.995,1.0,0.0,0.0,0.0,0.9998649817225393
0.3,0.33000000000000007,0.76885,0.705,0.825,0.0,0.0,0.0,0.869321875745862
0.3,0.3500000000000001,0.02257,0.005,0.045,0.0,0.0,0.0,0.04414367720115555
0.3,0.37000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.39000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.4100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.43000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.4700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.4900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.05,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.4,0.07,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.4,0.09000000000000001,1.0,1.0,1.0,0.997068,0.992,1.0,0.0058468570146484565
0.4,0.11000000000000001,1.0,1.0,1.0,0.0028959999999999997,0.0,0.008,0.9985499002055701
0.4,0.13,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.4,0.15000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.4,0.17000000000000004,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.4,0.19000000000000003,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.4,0.21000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.4,0.23000000000000004,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.4,0.25000000000000006,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.4,0.27,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.4,0.29000000000000004,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.4,0.31000000000000005,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.4,0.33000000000000007,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.4,0.3500000000000001,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.4,0.37000000000000005,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.4,0.39000000000000007,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.4,0.4100000000000001,0.98994,0.975,1.0,0.0,0.0,0.0,0.9949445711431026
0.4,0.43000000000000005,0.34854999999999997,0.282375,0.42,0.0,0.0,0.0,0.5169255867029828
0.4,0.45000000000000007,0.00115,0.0,0.005,0.0,0.0,0.0,0.0022973580380265335
0.4,0.4700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.4900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.05,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.5,0.07,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.5,0.09000000000000001,1.0,1.0,1.0,0.997196,0.992,1.0,0.00559231913658185
0.5,0.11000000000000001,1.0,1.0,1.0,0.002716,0.0,0.008,0.9986401532782198
0.5,0.13,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.5,0.15000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.5,0.17000000000000004,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
