sophistication,rho,tpr_mean,tpr_ci_lo,tpr_ci_hi,fpr_mean,fpr_ci_lo,fpr_ci_hi,f1_mean
0.05,0.05,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.05,0.07,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.05,0.09000000000000001,1.0,1.0,1.0,0.9972880000000001,0.992,1.0,0.005409329896778877
0.05,0.11000000000000001,1.0,1.0,1.0,0.0027360000000000006,0.0,0.008,0.9986301259623851
0.05,0.13,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.05,0.15000000000000002,0.92401,0.89,0.955,0.0,0.0,0.0,0.9605043632330131
0.05,0.17000000000000004,0.01911,0.005,0.04,0.0,0.0,0.0,0.03750331170948148
0.05,0.19000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.21000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.23000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.25000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.29000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.31000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.33000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.3500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.37000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.39000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.4100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.43000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.4700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.4900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.05,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.1,0.07,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.1,0.09000000000000001,1.0,1.0,1.0,0.997116,0.992,1.0,0.005751412924550451
0.1,0.11000000000000001,1.0,1.0,1.0,0.0027680000000000005,0.0,0.008,0.998614081839335
0.1,0.13,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.1,0.15000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.1,0.17000000000000004,0.95124,0.92,0.98,0.0,0.0,0.0,0.9750107623370262
0.1,0.19000000000000003,0.06062,0.03,0.095,0.0,0.0,0.0,0.11431049762268199
0.1,0.21000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.23000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.25000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.29000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.31000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.33000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.3500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.37000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.39000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.4100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.43000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.4700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.4900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.05,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.15,0.07,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.15,0.09000000000000001,1.0,1.0,1.0,0.9971039999999999,0.992,1.0,0.005775274803591511
0.15,0.11000000000000001,1.0,1.0,1.0,0.0025800000000000007,0.0,0.008,0.9987083337005382
0.15,0.13,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.15,0.15000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.15,0.17000000000000004,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.15,0.19000000000000003,0.9995899999999999,0.995,1.0,0.0,0.0,0.0,0.999794957916383
0.15,0.21000000000000002,0.6213,0.555,0.685,0.0,0.0,0.0,0.7664220069841224
0.15,0.23000000000000004,0.0037099999999999998,0.0,0.015,0.0,0.0,0.0,0.007392573551385103
0.15,0.25000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.29000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.31000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.33000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.3500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.37000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.39000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.4100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.43000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.4700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.4900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.05,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.2,0.07,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.2,0.09000000000000001,1.0,1.0,1.0,0.997108,0.992,1.0,0.005767320907359196
0.2,0.11000000000000001,1.0,1.0,1.0,0.0028240000000000006,0.0,0.008,0.9985860033868529
0.2,0.13,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.2,0.15000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.2,0.17000000000000004,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.2,0.19000000000000003,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.2,0.21000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.2,0.23000000000000004,0.9978199999999999,0.99,1.0,0.0,0.0,0.0,0.9989088105535578
0.2,0.25000000000000006,0.49252999999999997,0.42,0.565,0.0,0.0,0.0,0.6599934339236067
0.2,0.27,0.00193,0.0,0.01,0.0,0.0,0.0,0.0038525645500331798
0.2,0.29000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.31000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.33000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.3500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.37000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.39000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.4100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.43000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.4700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.4900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.05,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.3,0.07,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.3,0.09000000000000001,1.0,1.0,1.0,0.997108,0.992,1.0,0.005767320907359196
0.3,0.11000000000000001,1.0,1.0,1.0,0.002772,0.0,0.008,0.9986120762878042
0.3,0.13,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.3,0.15000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.3,0.17000000000000004,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.3,0.19000000000000003,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.3,0.21000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.3,0.23000000000000004,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.3,0.25000000000000006,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.3,0.27,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.3,0.29000000000000004,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.3,0.31000000000000005,0.9997,0.995,1.0,0.0,0.0,0.0,0.9998499774466245
0.3,0.33000000000000007,0.77114,0.705,0.8276249999999998,0.0,0.0,0.0,0.8707837889229094
0.3,0.3500000000000001,0.021470000000000003,0.005,0.042624999999999885,0.0,0.0,0.0,0.04203745581935471
0.3,0.37000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.39000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.4100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.43000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.45000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.4700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.4900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.05,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.4,0.07,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.4,0.09000000000000001,1.0,1.0,1.0,0.9971599999999999,0.992,1.0,0.005663914482303994
0.4,0.11000000000000001,1.0,1.0,1.0,0.0026440000000000005,0.0,0.008,0.9986762499525035
0.4,0.13,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.4,0.15000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.4,0.17000000000000004,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.4,0.19000000000000003,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.4,0.21000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.4,0.23000000000000004,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.4,0.25000000000000006,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.4,0.27,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.4,0.29000000000000004,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.4,0.31000000000000005,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.4,0.33000000000000007,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.4,0.3500000000000001,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.4,0.37000000000000005,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.4,0.39000000000000007,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.4,0.4100000000000001,0.98941,0.975,1.0,0.0,0.0,0.0,0.9946768136786949
0.4,0.43000000000000005,0.34979000000000005,0.28,0.41762499999999986,0.0,0.0,0.0,0.5182880299514526
0.4,0.45000000000000007,0.001,0.0,0.005,0.0,0.0,0.0,0.0019980019978023977
0.4,0.4700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.4900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.05,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.5,0.07,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.5,0.09000000000000001,1.0,1.0,1.0,0.9973,0.992,1.0,0.005385459259460981
0.5,0.11000000000000001,1.0,1.0,1.0,0.0027200000000000006,0.0,0.008,0.9986381478311184
0.5,0.13,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
0.5,0.15000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,0.99999999995
