mean_shift,rho,tpr_mean,tpr_ci_lo,tpr_ci_hi,fpr_mean,fpr_ci_lo,fpr_ci_hi,precision_mean,f1_mean,f1_ci_lo,f1_ci_hi
0.05,0.05,1.0,1.0,1.0,1.0,1.0,1.0,0.28571428571428564,0.4444444444444446,0.4444444444444444,0.4444444444444444
0.05,0.060000000000000005,1.0,1.0,1.0,1.0,1.0,1.0,0.28571428571428564,0.4444444444444446,0.4444444444444444,0.4444444444444444
0.05,0.07,1.0,1.0,1.0,1.0,1.0,1.0,0.28571428571428564,0.4444444444444446,0.4444444444444444,0.4444444444444444
0.05,0.08000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0.28571428571428564,0.4444444444444446,0.4444444444444444,0.4444444444444444
0.05,0.09000000000000001,1.0,1.0,1.0,0.9974066750208537,0.9919999837875366,1.0,0.2862453062181357,0.4450864360706597,0.4444444444444444,0.4464285754674704
0.05,0.1,1.0,1.0,1.0,0.47908666541179024,0.4389499954879284,0.5220000147819519,0.4552986056723306,0.6256285908623912,0.6051437148674695,0.645708481169266
0.05,0.11000000000000001,1.0,1.0,1.0,0.002633333427365869,0.0,0.00800000037997961,0.9934937601577034,0.9967277498949575,0.9900990094353744,1.0
0.05,0.12000000000000002,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.05,0.13,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.05,0.14,0.9994500005245208,0.9950000047683716,1.0,0.0,0.0,0.0,1.0,0.9997243110405191,0.9974937367319912,1.0
0.05,0.15000000000000002,0.9253000022967657,0.8899999856948853,0.9599999785423279,0.0,0.0,0.0,1.0,0.9611039825890376,0.9417989337895832,0.9795918255634776
0.05,0.16000000000000003,0.3650999998052915,0.28999999165534973,0.4350000023841858,0.0,0.0,0.0,1.0,0.5339069862593412,0.4496123930717501,0.6062717793190989
0.05,0.17000000000000004,0.01859999980777502,0.004999999888241291,0.03999999910593033,0.0,0.0,0.0,0.9766666666666667,0.03632823144507189,0.00995024853492001,0.07692307526984159
0.05,0.18000000000000002,0.00014999999664723872,0.0,0.004999999888241291,0.0,0.0,0.0,0.03,0.0002985074560476003,0.0,0.00995024853492001
0.05,0.19000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.21000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.22000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.23000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
